i,Date,Value
676,1992-09-02,3249.76
677,1992-09-03,3268.94
678,1992-09-04,3265.16
679,1992-09-08,3245.73
680,1992-09-09,3244.92
681,1992-09-10,3261.67
682,1992-09-11,3285.44
683,1992-09-14,3326.51
684,1992-09-15,3317.86
685,1992-09-16,3288.95
686,1992-09-17,3292.2
687,1992-09-18,3297.87
688,1992-09-21,3295.71
689,1992-09-22,3270.58
690,1992-09-23,3252.48
691,1992-09-24,3267.07
692,1992-09-25,3226.82
693,1992-09-28,3226.55
694,1992-09-29,3247.08
695,1992-09-30,3247.89
696,1992-10-01,3237.35
697,1992-10-02,3193.59
698,1992-10-05,3087.41
699,1992-10-06,3147.93
700,1992-10-07,3136.85
701,1992-10-08,3135.77
702,1992-10-09,3120.37
703,1992-10-12,3140.1
704,1992-10-13,3159.28
705,1992-10-14,3167.11
706,1992-10-15,3147.66
707,1992-10-16,3123.89
708,1992-10-19,3154.14
709,1992-10-20,3166.3
710,1992-10-21,3163.33
711,1992-10-22,3162.79
712,1992-10-23,3175.76
713,1992-10-26,3190.08
714,1992-10-27,3210.88
715,1992-10-28,3210.34
716,1992-10-29,3224.39
717,1992-10-30,3208.45
718,1992-11-02,3211.42
719,1992-11-03,3226.82
720,1992-11-04,3211.15
721,1992-11-05,3203.58
722,1992-11-06,3216.82
723,1992-11-09,3220.33
724,1992-11-10,3212.5
725,1992-11-11,3203.31
726,1992-11-12,3214.39
727,1992-11-13,3211.69
728,1992-11-16,3191.16
729,1992-11-17,3178.19
730,1992-11-18,3176.84
731,1992-11-19,3190.35
732,1992-11-20,3197.64
733,1992-11-23,3196.83
734,1992-11-24,3209.26
735,1992-11-25,3243.57
736,1992-11-27,3259.24
737,1992-11-30,3270.31
738,1992-12-01,3268.15
739,1992-12-02,3265.18
740,1992-12-03,3252.48
741,1992-12-04,3261.4
742,1992-12-07,3274.37
743,1992-12-08,3288.41
744,1992-12-09,3295.98
745,1992-12-10,3285.17
746,1992-12-11,3280.85
747,1992-12-14,3279.5
748,1992-12-15,3260.32
749,1992-12-16,3238.7
750,1992-12-17,3229.79
751,1992-12-18,3261.94
752,1992-12-21,3280.85
753,1992-12-22,3286.52
754,1992-12-23,3293.01
755,1992-12-24,3303.27
756,1992-12-28,3297.33
757,1992-12-29,3295.71
758,1992-12-30,3298.93
759,1992-12-31,3294.36
760,1993-01-04,3282.74
761,1993-01-05,3279.23
762,1993-01-06,3276.53
763,1993-01-07,3250.3
764,1993-01-08,3221.68
765,1993-01-11,3228.98
766,1993-01-12,3229.79
767,1993-01-13,3225.47
768,1993-01-14,3230.87
769,1993-01-15,3238.7
770,1993-01-18,3244.65
771,1993-01-19,3239.52
772,1993-01-20,3231.41
773,1993-01-21,3219.25
774,1993-01-22,3225.74
775,1993-01-25,3243.84
776,1993-01-26,3272.47
777,1993-01-27,3260.05
778,1993-01-28,3270.58
779,1993-01-29,3287.06
780,1993-02-01,3300.3
781,1993-02-02,3300.3
782,1993-02-03,3322.73
783,1993-02-04,3367.03
784,1993-02-05,3391.62
785,1993-02-08,3408.91
786,1993-02-09,3394.86
787,1993-02-10,3379.19
788,1993-02-11,3395.94
789,1993-02-12,3378.11
790,1993-02-16,3285.98
791,1993-02-17,3273.56
792,1993-02-18,3262.48
793,1993-02-19,3270.04
794,1993-02-22,3297.06
795,1993-02-23,3296.79
796,1993-02-24,3311.92
797,1993-02-25,3326.78
798,1993-02-26,3336.23
799,1993-03-01,3336.23
800,1993-03-02,3334.07
801,1993-03-03,3368.92
802,1993-03-04,3372.43
803,1993-03-05,3373.25
804,1993-03-08,3401.34
805,1993-03-09,3443.76
806,1993-03-10,3432.68
807,1993-03-11,3437.27
808,1993-03-12,3385.4
809,1993-03-15,3412.96
810,1993-03-16,3423.77
811,1993-03-17,3408.91
812,1993-03-18,3427.01
813,1993-03-19,3446.46
814,1993-03-22,3429.71
815,1993-03-23,3438.08
816,1993-03-24,3417.55
817,1993-03-25,3429.44
818,1993-03-26,3428.63
819,1993-03-29,3431.87
820,1993-03-30,3422.14
821,1993-03-31,3424.85
822,1993-04-01,3419.98
823,1993-04-02,3344.88
824,1993-04-05,3338.39
825,1993-04-06,3339.75
826,1993-04-07,3355.41
827,1993-04-08,3357.58
828,1993-04-12,3391.08
829,1993-04-13,3408.37
830,1993-04-14,3424.85
831,1993-04-15,3419.17
832,1993-04-16,3437.54
833,1993-04-19,3436.73
834,1993-04-20,3400.26
835,1993-04-21,3401.34
836,1993-04-22,3399.99
837,1993-04-23,3385.67
838,1993-04-26,3369.46
839,1993-04-27,3364.06
840,1993-04-28,3372.16
841,1993-04-29,3377.57
842,1993-04-30,3405.39
843,1993-05-03,3402.42
844,1993-05-04,3424.04
845,1993-05-05,3420.86
846,1993-05-06,3418.93
847,1993-05-07,3413.67
848,1993-05-10,3420.31
849,1993-05-11,3421.42
850,1993-05-12,3441.07
851,1993-05-13,3428.89
852,1993-05-14,3421.14
853,1993-05-17,3421.42
854,1993-05-18,3409.79
855,1993-05-19,3405.09
856,1993-05-20,3475.39
857,1993-05-21,3468.47
858,1993-05-24,3472.35
859,1993-05-25,3486.46
860,1993-05-26,3498.64
861,1993-05-27,3523.28
862,1993-05-28,3503.62
863,1993-06-01,3518.02
864,1993-06-02,3530.47
865,1993-06-03,3516.08
866,1993-06-04,3516.63
867,1993-06-07,3510.82
868,1993-06-08,3494.21
869,1993-06-09,3490.89
870,1993-06-10,3461.83
871,1993-06-11,3479.27
872,1993-06-14,3486.74
873,1993-06-15,3471.24
874,1993-06-16,3460.17
875,1993-06-17,3488.68
876,1993-06-18,3478.44
877,1993-06-21,3477.05
878,1993-06-22,3474.28
879,1993-06-23,3445.77
880,1993-06-24,3449.1
881,1993-06-25,3473.18
882,1993-06-28,3486.74
883,1993-06-29,3491.44
884,1993-06-30,3493.11
885,1993-07-01,3487.29
886,1993-07-02,3468.47
887,1993-07-06,3443.28
888,1993-07-07,3443.28
889,1993-07-08,3462.38
890,1993-07-09,3490.89
891,1993-07-12,3495.04
892,1993-07-13,3491.13
893,1993-07-14,3507.34
894,1993-07-15,3509.85
895,1993-07-16,3505.94
896,1993-07-19,3502.87
897,1993-07-20,3500.63
898,1993-07-21,3516.84
899,1993-07-22,3514.32
900,1993-07-23,3508.17
901,1993-07-26,3541.43
902,1993-07-27,3533.6
903,1993-07-28,3524.38
904,1993-07-29,3531.37
905,1993-07-30,3515.72
906,1993-08-02,3524.94
907,1993-08-03,3530.81
908,1993-08-04,3530.25
909,1993-08-05,3523.54
910,1993-08-06,3536.12
911,1993-08-09,3541.15
912,1993-08-10,3547.02
913,1993-08-11,3550.93
914,1993-08-12,3537.24
915,1993-08-13,3547.58
916,1993-08-16,3547.86
917,1993-08-17,3554.0
918,1993-08-18,3577.48
919,1993-08-19,3581.11
920,1993-08-20,3580.55
921,1993-08-23,3578.87
922,1993-08-24,3590.89
923,1993-08-25,3620.51
924,1993-08-26,3620.23
925,1993-08-27,3606.54
926,1993-08-30,3621.63
927,1993-08-31,3619.67
928,1993-09-01,3619.67
929,1993-09-02,3610.17
930,1993-09-03,3603.75
931,1993-09-07,3592.57
932,1993-09-08,3561.27
933,1993-09-09,3556.52
934,1993-09-10,3576.64
935,1993-09-13,3607.66
936,1993-09-14,3590.61
937,1993-09-15,3573.84
938,1993-09-16,3601.79
939,1993-09-17,3580.83
940,1993-09-20,3567.98
941,1993-09-21,3501.47
942,1993-09-22,3516.56
943,1993-09-23,3513.48
944,1993-09-24,3507.9
945,1993-09-27,3539.47
946,1993-09-28,3542.27
947,1993-09-29,3538.91
948,1993-09-30,3528.57
949,1993-10-01,3541.71
950,1993-10-04,3550.65
951,1993-10-05,3553.72
952,1993-10-06,3570.21
953,1993-10-07,3564.9
954,1993-10-08,3550.37
955,1993-10-11,3565.46
956,1993-10-12,3575.24
957,1993-10-13,3574.12
958,1993-10-14,3574.4
959,1993-10-15,3596.2
960,1993-10-18,3595.92
961,1993-10-19,3601.79
962,1993-10-20,3611.85
963,1993-10-21,3610.45
964,1993-10-22,3612.13
965,1993-10-25,3618.28
966,1993-10-26,3636.16
967,1993-10-27,3634.76
968,1993-10-28,3657.96
969,1993-10-29,3656.84
970,1993-11-01,3656.84
971,1993-11-02,3656.0
972,1993-11-03,3638.4
973,1993-11-04,3609.61
974,1993-11-05,3585.86
975,1993-11-08,3621.91
976,1993-11-09,3623.03
977,1993-11-10,3616.6
978,1993-11-11,3638.4
979,1993-11-12,3648.74
980,1993-11-15,3653.49
981,1993-11-16,3653.77
982,1993-11-17,3660.19
983,1993-11-18,3649.57
984,1993-11-19,3640.07
985,1993-11-22,3627.78
986,1993-11-23,3649.57
987,1993-11-24,3654.33
988,1993-11-26,3660.75
989,1993-11-29,3654.33
990,1993-11-30,3654.88
991,1993-12-01,3673.33
992,1993-12-02,3674.17
993,1993-12-03,3677.8
994,1993-12-06,3687.3
995,1993-12-07,3689.26
996,1993-12-08,3693.73
